"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"2014-04-30 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-29 00:00:00","2,276m row","15:00.0","900","","","2276","","","","3:17.7","45","456","","","58","Lwt","Indoor Rower","No",""
"2014-04-28 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-27 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-26 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-25 00:00:00","2,400m row","16:00.0","960","","","2400","","","","3:20.0","44","450","","","58","Lwt","Indoor Rower","No",""
"2014-04-24 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-23 00:00:00","1,500m row","10:00.0","600","","","1500","","","","3:20.0","44","450","","","58","Lwt","Indoor Rower","No",""
"2014-04-22 00:00:00","2,285m row","15:00.0","900","","","2285","","","","3:16.9","46","457","","","58","Lwt","Indoor Rower","No",""
"2014-04-21 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-20 00:00:00","4,600m row","29:15.0","1755","","","4600","","","","3:10.7","50","473","","","58","Lwt","Indoor Rower","No","UO - Day #2 - slight blood in urine (too much exercise)"
"2014-04-19 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-18 00:00:00","2,800m row","18:40.0","1120","","","2800","","","","3:20.0","44","450","","","58","Lwt","Indoor Rower","No","UO - Day #1"
"2014-04-17 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-16 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-15 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
"2014-04-14 00:00:00","0m row","","0","","","0","","","","","","","","","58","Lwt","Indoor Rower","No",""
