"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"2015-04-30 00:00:00","8,918m row","1:03:54.0","3834","","","8918","","","","3:34.9","35","421","","","59","Lwt","Indoor Rower","No",""
"2015-04-29 00:00:00","6,620m row","48:11.0","2891","","","6620","","","","3:38.3","34","416","","","59","Lwt","Indoor Rower","No",""
"2015-04-28 00:00:00","7,622m row","53:13.0","3193","","","7622","","","","3:29.4","38","431","","","59","Lwt","Indoor Rower","No",""
"2015-04-27 00:00:00","7,048m row","46:27.0","2787","","","7048","","","","3:17.7","45","456","","","59","Lwt","Indoor Rower","No",""
"2015-04-26 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No","did not exercise today"
"2015-04-25 00:00:00","1,665m row","11:00.0","660","","","1665","","","","3:18.2","45","454","","","59","Lwt","Indoor Rower","No","tired"
"2015-04-24 00:00:00","6,637m row","45:17.0","2717","","","6637","","","","3:24.6","41","440","","","59","Lwt","Indoor Rower","No","Right, rower - hand is ok, (not quite 100%, but no pins/needles)"
"2015-04-23 00:00:00","5,318m row","37:59.0","2279","","","5318","","","","3:34.2","36","422","","","59","Lwt","Indoor Rower","No",""
"2015-04-22 00:00:00","4,478m row","30:00.0","1800","","","4478","","","","3:20.9","43","448","","","59","Lwt","Indoor Rower","No",""
"2015-04-21 00:00:00","2,633m row","17:00.0","1020","","","2633","","","","3:13.7","48","466","","","59","Lwt","Indoor Rower","No",""
"2015-04-20 00:00:00","2,991m row","21:10.0","1270","","","2991","","","","3:32.3","37","426","","","59","Lwt","Indoor Rower","No",""
"2015-04-19 00:00:00","2,125m row","15:00.0","900","","","2125","","","","3:31.7","37","427","","","59","Lwt","Indoor Rower","No","right rower, no pins/needles, but not 100%"
"2015-04-18 00:00:00","1,243m row","10:00.0","600","","","1243","","","","4:01.3","25","386","","","59","Lwt","Indoor Rower","No","try older, RIGHT rower. Less vibration?"
"2015-04-17 00:00:00","1,175m row","10:00.0","600","","","1175","","","","4:15.3","21","372","","","59","Lwt","Indoor Rower","No",""
"2015-04-16 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No","Losing discipln"
"2015-04-15 00:00:00","1,894m row","15:00.0","900","","","1894","","","","3:57.5","26","390","","","59","Lwt","Indoor Rower","No",""
"2015-04-14 00:00:00","1,346m row","10:00.0","600","","","1346","","","","3:42.8","32","409","","","59","Lwt","Indoor Rower","No",""
"2015-04-13 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No",""
"2015-04-12 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No",""
"2015-04-11 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No",""
"2015-04-10 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No",""
"2015-04-09 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No",""
"2015-04-08 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No","rest the wrist"
"2015-04-07 00:00:00","7,094m row","52:13.0","3133","","","7094","","","","3:40.8","33","412","","","59","Lwt","Indoor Rower","No",""
"2015-04-06 00:00:00","7,221m row","50:15.0","3015","","","7221","","","","3:28.7","38","432","","","59","Lwt","Indoor Rower","No","try SOCKS to cushion wrist"
"2015-04-05 00:00:00","7,000m row","50:31.0","3031","","","7000","","","","3:36.5","34","419","","","59","Lwt","Indoor Rower","No",""
"2015-04-04 00:00:00","0m row","","0","","","0","","","","","","","","","59","Lwt","Indoor Rower","No","no need REST, just didn't go"
"2015-04-03 00:00:00","4,000m row","29:48.0","1788","","","4000","","","","3:43.5","31","408","","","59","Lwt","Indoor Rower","No",""
"2015-04-02 00:00:00","1,000m row","7:33.0","453","","","1000","","","","3:46.5","30","404","","","59","Lwt","Indoor Rower","No","wrist"
