"Meters","Total Time","Pace","Date","Age","Class","Type","Comments",
"0","00:00.0","","2013-05-01","57","L","standard","",
"0","00:00.0","","2013-05-02","57","L","standard","",
"0","00:00.0","","2013-05-03","57","L","standard","",
"0","00:00.0","","2013-05-04","57","L","standard","",
"0","00:00.0","","2013-05-05","57","L","standard","",
"0","00:00.0","","2013-05-06","57","L","standard","",
"0","00:00.0","","2013-05-07","57","L","standard","",
"4995","30:00.0","3:00.1","2013-05-08","57","L","standard","",
"8300","52:00.0","3:07.9","2013-05-09","57","L","standard","variety of drag numbers",
"8400","50:30.0","3:00.3","2013-05-10","57","L","standard","@80 = drag (level 2) - hard!",
"4900","30:00.0","3:03.6","2013-05-11","57","L","standard","",
"0","00:00.0","","2013-05-12","57","L","standard","weights only today
",
"7900","48:30.0","3:04.1","2013-05-13","57","L","standard","drag 93 (between 3|4)",
"8300","50:00.0","3:00.7","2013-05-14","57","L","standard","Drag: 97 (mid-4)",
"1500","10:00.0","3:20.0","2013-05-15","57","L","standard","tired, rest day",
"8200","51:00.0","3:06.5","2013-05-16","57","L","standard","@94",
"8400","50:30.0","3:00.3","2013-05-18","57","L","standard","@90",
"8600","51:30.0","2:59.6","2013-05-18","57","L","standard","@87 = drag",
"12300","1:08:00.0","2:45.8","2013-05-20","57","L","standard","@87=drag",
"0","00:00.0","","2013-05-19","57","L","standard","REST",
"8500","51:00.0","3:00.0","2013-05-21","57","L","standard","@86=drag",
"4415","30:00.0","3:23.8","2013-05-22","57","L","standard","@89=drag; poor day",
"7600","48:00.0","3:09.4","2013-05-23","57","L","standard","@91=drag; poor performance, collapse at B3",
"0","00:00.0","","2013-05-24","57","L","standard","no row; weights + aero",
"6700","43:00.0","3:12.5","2013-05-25","57","L","standard","@91 @95 = drag",
"0","00:00.0","","2013-05-26","57","L","standard","",
"0","00:00.0","","2013-05-28","57","L","standard","",
"8600","54:00.0","3:08.3","2013-05-27","57","L","standard","@94=drag; PLAN - row ONLY alternative days (get data)",
"8000","51:00.0","3:11.2","2013-05-29","57","L","standard","@94=drag",
"0","00:00.0","","2013-05-30","57","L","standard","",
"8300","49:30.0","2:58.9","2013-05-31","57","L","standard","@93=drag",
"7900","55:00.0","3:28.8","2013-06-01","57","L","standard","@93=drag; mood is poor",
"2810","20:00.0","3:33.5","2013-06-02","57","L","standard","BAD MOOD",
"10600","1:10:00.0","3:18.1","2013-06-03","57","L","standard","@95",
"8600","53:30.0","3:06.6","2013-06-04","57","L","standard","@92",
"3100","19:30.0","3:08.7","2013-06-05","57","L","standard","@93 - too tired, no pull",
"5300","37:00.0","3:29.4","2013-06-06","57","L","standard","@94",
"4200","25:00.0","2:58.5","2013-06-07","57","L","standard","@94",
"3200","22:00.0","3:26.2","2013-06-08","57","L","standard","@94 - Last Day at FitnessFirst, Rama 9",
"0","00:00.0","","2013-06-09","57","L","standard","REST, no exercise",
"8300","52:30.0","3:09.7","2013-06-10","57","L","standard","@91 - Day #1 at Marriott",
"10000","58:23.0","2:55.1","2013-06-11","57","L","standard","long row, no resting",
"668","5:00.0","3:44.5","2013-06-11","57","L","standard","Cool down, after 10K row",
"4300","26:00.9","3:01.5","2013-06-12","57","L","standard","@88",
"5800","40:00.0","3:26.8","2013-06-13","57","L","standard","@88, pee",
"0","00:00.0","","2013-06-14","57","L","standard","NO Row, rest",
"6600","40:00.0","3:01.8","2013-06-15","57","L","standard","@86, 4(500+ 3:00)",
"9600","57:30.0","2:59.6","2013-06-16","57","L","standard","@87",
"0","00:00.0","","2013-06-17","57","L","standard","No Row, rest",
"11960","1:15:00.0","3:08.1","2013-06-18","57","L","standard","@88, pee",
"0","00:00.0","","2013-06-20","57","L","standard","NO REST, NO EXER, body says REST today",
"2000","12:40.0","3:10.0","2013-06-19","57","L","standard","warm-up only",
"6900","40:00.9","2:53.9","2013-06-21","57","L","standard","@89",
"8600","52:00.0","3:01.3","2013-06-22","57","L","standard","@88",
"9300","58:00.0","3:07.0","2013-06-23","57","L","standard","@86",
"1620","10:00.0","3:05.1","2013-06-24","57","L","standard","",
"4700","30:00.0","3:11.4","2013-06-25","57","L","standard","",
"0","00:00.0","","2013-06-26","57","L","standard","no row, aerobics only",
"8500","53:00.0","3:07.0","2013-06-27","57","L","standard","@90",
"8000","49:30.0","3:05.6","2013-06-29","57","L","standard","4(500 + 3')",
"0","00:00.0","","2013-06-30","57","L","standard","no row, sore hamstrings?",
"0","00:00.0","","2013-07-01","57","L","standard","no row, hamstrings sore",
"2770","20:00.0","3:36.6","2013-07-02","57","L","standard","@101",
"4700","32:00.0","3:24.2","2013-07-03","57","L","standard","@100",
"8500","54:30.0","3:12.3","2013-07-04","57","L","standard","@99",
"8300","51:00.0","3:04.3","2013-07-05","57","L","standard","",
"8700","53:45.0","3:05.3","2013-07-06","57","L","standard","",
"8780","53:45.0","3:03.6","2013-07-07","57","L","standard","",
"1550","10:00.0","3:13.5","2013-07-08","57","L","standard","",
"0","00:00.0","","2013-07-09","57","L","standard","",
"6500","38:15.0","2:56.5","2013-07-10","57","L","standard","",
"8800","54:00.0","3:04.0","2013-07-11","57","L","standard","",
"8700","51:45.0","2:58.4","2013-07-12","57","L","standard","",
"0","00:00.0","","2013-07-13","57","L","standard","REST, no gym",
"11500","1:07:15.0","2:55.4","2013-07-14","57","L","standard","",
"3200","20:00.0","3:07.5","2013-07-15","57","L","standard","",
"9650","56:30.0","2:55.6","2013-07-16","57","L","standard","",
"5761","35:00.0","3:02.2","2013-07-17","57","L","standard","",
"1460","10:00.0","3:25.4","2013-07-18","57","L","standard","",
"5000","32:15.0","3:13.5","2013-07-19","57","L","standard","",
"9100","53:30.0","2:56.3","2013-07-20","57","L","standard","",
"6400","37:45.0","2:56.9","2013-07-21","57","L","standard","",
"1700","11:00.0","3:14.1","2013-07-22","57","L","standard","",
"0","00:00.0","","2013-07-23","57","L","standard","SICK, no exercise",
"1950","13:00.0","3:20.0","2013-07-24","57","L","standard","",
"3100","20:00.9","3:13.6","2013-07-25","57","L","standard","",
"8800","53:15.0","3:01.5","2013-07-26","57","L","standard","",
"8500","51:15.0","3:00.8","2013-07-27","57","L","standard","",
"10800","1:11:45.0","3:19.3","2013-07-28","57","L","standard","",
"5600","38:15.0","3:24.9","2013-07-29","57","L","standard","",
"11000","1:13:45.0","3:21.1","2013-07-30","57","L","standard","",
"2975","20:00.0","3:21.6","2013-07-31","57","L","standard","",
"0","00:00.0","","2013-08-01","57","L","standard","No row fly to kul",
"6100","38:45.0","3:10.5","2013-08-02","57","L","standard","",
"7900","49:30.0","3:07.9","2013-08-03","57","L","standard","",
"2700","20:00.0","3:42.2","2013-08-04","57","L","standard","",
"0","00:00.0","","2013-08-05","57","L","standard","",
"7900","48:15.0","3:03.2","2013-08-06","57","L","standard","",
"2700","19:00.0","3:31.1","2013-08-07","57","L","standard","",
"10100","1:05:45.0","3:15.2","2013-08-08","57","L","standard","",
"1500","10:21.0","3:27.0","2013-08-09","57","L","standard","",
"4650","30:00.0","3:13.5","2013-08-10","57","L","standard","",
"8000","55:30.0","3:28.1","2013-08-11","57","L","standard","",
"0","00:00.0","","2013-08-12","57","L","standard","",
