"Meters","Total Time","Pace","Date","Age","Class","Type","Comments",
"2000","11:48.0","2:57.0","2012-08-16","56","L","standard","",
"7800","44:00.0","2:49.2","2012-08-21","56","L","standard","",
"7800","46:00.0","2:56.9","2012-08-22","56","L","standard","",
"7600","42:00.0","2:45.7","2012-08-23","56","L","standard","146",
"4900","30:00.0","3:03.6","2012-08-24","56","L","standard","",
"0","00:00.0","","2012-08-25","56","L","standard","",
"9000","52:00.0","2:53.3","2012-08-26","56","L","standard","146.75 lb",
"8800","49:00.0","2:47.0","2012-08-27","56","L","standard","",
"7400","42:00.0","2:50.2","2012-08-28","56","L","standard","",
"6200","36:00.0","2:54.1","2012-08-29","56","L","standard","",
"0","00:00.0","","2012-08-30","56","L","standard","rest, feels like overtraining??",
"6300","40:00.0","3:10.4","2012-08-31","56","L","standard","145.75 lb",
"0","00:00.0","","2012-12-24","56","L","standard","",
"5700","33:00.0","2:53.6","2012-09-01","56","L","standard","",
"7000","45:00.0","3:12.8","2012-09-02","56","L","standard","",
"6100","37:00.0","3:01.9","2012-09-03","56","L","standard","",
"0","00:00.0","","2012-09-04","56","L","standard","",
"7200","36:00.0","2:30.0","2012-09-05","56","L","standard","",
"0","00:00.0","","2012-09-06","56","L","standard","rest - arm hurts",
"2200","14:00.0","3:10.9","2012-09-07","56","L","standard","",
"7000","44:00.0","3:08.5","2012-09-08","56","L","standard","",
"4500","30:00.0","3:20.0","2012-09-09","56","L","standard","",
"0","00:00.0","","2012-09-10","56","L","standard","",
"4000","26:00.0","3:15.0","2012-09-11","56","L","standard","",
"7100","39:00.0","2:44.7","2012-09-12","56","L","standard","",
"7100","34:00.0","2:23.6","2012-09-13","56","L","standard","",
"8300","52:00.0","3:07.9","2012-09-14","56","L","standard","",
"6800","39:00.0","2:52.0","2012-09-15","56","L","standard","",
"6100","35:00.0","2:52.1","2012-09-16","56","L","standard","",
"9600","1:00:00.0","3:07.5","2012-09-17","56","L","standard","",
"0","00:00.0","","2012-09-18","56","L","standard","",
"8600","52:00.0","3:01.3","2012-09-19","56","L","standard","",
"6100","32:00.0","2:37.3","2012-09-20","56","L","standard","",
"0","00:00.0","","2012-09-21","56","L","standard","",
"0","00:00.0","","2012-09-22","56","L","standard","",
"0","00:00.0","","2012-09-23","56","L","standard","",
"0","00:00.0","","2012-09-29","56","L","standard","",
"6200","37:00.0","2:59.0","2012-09-24","56","L","standard","UNLV - Day #1 - 141.5 lb",
"7900","46:00.0","2:54.6","2012-09-25","56","L","standard","",
"6700","35:00.0","2:36.7","2012-09-26","56","L","standard","",
"6600","39:00.0","2:57.2","2012-09-27","56","L","standard","",
"5000","31:00.0","3:06.0","2012-09-28","56","L","standard","",
"8100","48:00.0","2:57.7","2012-09-30","56","L","standard","",
"6500","38:00.0","2:55.3","2012-12-26","56","L","standard","1st day at 24-hour Fitness (old machine and old PM2)",
"0","00:00.0","","2012-12-25","56","L","standard","",
"5000","28:00.0","2:48.0","2012-12-27","56","L","standard","2nd day - 24-hour fitness, LVegas",
"5300","30:00.0","2:49.8","2012-12-28","56","L","standard","",
"0","00:00.0","","2012-12-30","56","L","standard","",
"0","00:00.0","","2012-12-29","56","L","standard","",
"7600","41:00.0","2:41.8","2012-10-01","56","L","standard","",
"5900","37:00.0","3:08.1","2012-10-02","56","L","standard","",
"8000","48:00.0","3:00.0","2012-10-03","56","L","standard","",
"10000","59:00.0","2:57.0","2012-10-04","56","L","standard","",
"8200","51:00.0","3:06.5","2012-10-05","56","L","standard","",
"6700","40:00.0","2:59.1","2012-10-06","56","L","standard","",
"7800","48:00.0","3:04.6","2012-10-07","56","L","standard","",
"8200","56:00.0","3:24.8","2012-10-11","56","L","standard","",
"8100","50:00.0","3:05.1","2012-10-10","56","L","standard","",
"10800","1:07:00.0","3:06.1","2012-10-09","56","L","standard","",
"0","00:00.0","","2012-10-08","56","L","standard","",
"7200","41:00.0","2:50.8","2012-10-12","56","L","standard","",
"3400","22:00.0","3:14.1","2012-10-13","56","L","standard","",
"9100","51:00.0","2:48.1","2012-10-14","56","L","standard","",
"0","00:00.0","","2012-10-15","56","L","standard","no exercise; job interview in lasvegas",
"6900","43:00.0","3:06.9","2012-10-16","56","L","standard","@Berkeley Y - Day #1 (tired, travel day)",
"0","00:00.0","","2012-10-17","56","L","standard","",
"8700","51:00.0","2:55.8","2012-10-18","56","L","standard","",
"8200","51:00.0","3:06.5","2012-10-19","56","L","standard","",
"0","00:00.0","","2012-10-20","56","L","standard","",
"11200","1:05:00.0","2:54.1","2012-10-21","56","L","standard","",
"0","00:00.0","","2012-10-22","56","L","standard","",
"9100","56:00.0","3:04.6","2012-10-23","56","L","standard","",
"8800","53:00.0","3:00.6","2012-10-24","56","L","standard","",
"7900","45:00.0","2:50.8","2012-10-25","56","L","standard","",
"8700","50:00.0","2:52.4","2012-10-26","56","L","standard","",
"9100","54:00.0","2:58.0","2012-10-27","56","L","standard","",
"10800","1:06:00.0","3:03.3","2012-10-28","56","L","standard","",
"8500","42:00.0","2:28.2","2012-10-29","56","L","standard","",
"5700","34:00.0","2:58.9","2012-10-30","56","L","standard","",
"3300","20:00.0","3:01.8","2012-10-31","56","L","standard","",
"0","00:00.0","","2012-12-31","56","L","standard","",
"0","00:00.0","","2013-01-01","57","L","standard","",
"5500","32:00.0","2:54.5","2013-01-02","57","L","standard","UNLV - reopens after Xmas; I am out of shape! gained 3 1/2 pounds in &lt;2 weeks
(140 1/2 pounds)",
"6200","37:00.0","2:59.0","2013-01-03","57","L","standard","try Pete training, 30 intervals",
"4000","23:28.0","2:56.0","2013-01-04","57","L","standard","easy day; not motivation",
"5100","30:00.0","2:56.4","2013-01-05","57","L","standard","includes 3(500m + 3')",
"3700","22:00.0","2:58.3","2013-01-06","57","L","standard","in rush (to eat?), no motivation",
"0","00:00.0","","2013-01-09","57","L","standard","REST day",
"0","00:00.0","","2013-01-08","57","L","standard","weights only",
"8600","50:00.0","2:54.4","2013-01-07","57","L","standard","",
"8200","52:30.0","3:12.0","2013-01-10","57","L","standard","3(2k + 2') - hard to do; have I lost it?",
"8700","50:30.0","2:54.1","2013-01-11","57","L","standard","3(2k+2') - better, more energy afterwards then before! includes 500 m sprints",
"7500","45:30.0","3:02.0","2013-01-12","57","L","standard","5(500m + 3') - winded",
"5400","32:30.0","3:00.5","2013-01-13","57","L","standard","3(2k + 2') - but collapse after high W:spm and only do 2 cycles
",
"8600","51:00.0","2:57.9","2013-01-14","57","L","standard","increased discipline  with spm (13,17,20)",
"5600","32:00.0","2:51.4","2013-01-15","57","L","standard","",
"6900","42:00.0","3:02.6","2013-01-16","57","L","standard","",
"0","00:00.0","","2013-01-17","57","L","standard","REST day",
"9100","55:30.0","3:02.9","2013-01-18","57","L","standard","",
"8500","51:00.0","3:00.0","2013-01-19","57","L","standard","",
"6300","36:00.0","2:51.4","2013-01-20","57","L","standard","",
