"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"2016-04-30 00:00:00","4,000m row","30:24.0","1824","","","4000","","","","3:48.0","30","401","","","60","Lwt","Indoor Rower","No",""
"2016-04-29 00:00:00","655m row","5:05.0","305","","","655","","","","3:52.8","28","395","","","60","Lwt","Indoor Rower","No","forgot wrist brace"
"2016-04-28 00:00:00","4,000m row","31:38.0","1898","","","4000","","","","3:57.2","26","390","","","60","Lwt","Indoor Rower","No",""
"2016-04-27 00:00:00","4,000m row","32:11.0","1931","","","4000","","","","4:01.3","25","386","","","60","Lwt","Indoor Rower","No",""
"2016-04-26 00:00:00","4,166m row","36:37.0","2197","","","4166","","","","4:23.6","19","366","","","60","Lwt","Indoor Rower","No",""
"2016-04-25 00:00:00","0m row","","0","","","0","","","","","","","","","60","Lwt","Indoor Rower","No","LAZY"
"2016-04-24 00:00:00","2,514m row","19:00.0","1140","","","2514","","","","3:46.7","30","403","","","60","Lwt","Indoor Rower","No",""
"2016-04-23 00:00:00","0m row","","0","","","0","","","","","","","","","60","Lwt","Indoor Rower","No","Tired, lazy"
"2016-04-22 00:00:00","4,141m row","35:21.0","2121","","","4141","","","","4:16.1","21","372","","","60","Lwt","Indoor Rower","No",""
"2016-04-21 00:00:00","2,411m row","15:31.0","931","","","2411","","","","3:13.0","49","467","","","60","Lwt","Indoor Rower","No",""
"2016-04-20 00:00:00","0m row","","0","","","0","","","","","","","","","60","Lwt","Indoor Rower","No","APT hunting; REST"
"2016-04-19 00:00:00","2,000m row","18:12.0","1092","","","2000","","","","4:33.0","17","359","","","60","Lwt","Indoor Rower","No","no E"
"2016-04-18 00:00:00","4,167m row","32:08.0","1928","","","4167","","","","3:51.3","28","397","","","60","Lwt","Indoor Rower","No",""
"2016-04-17 00:00:00","2,131m row","16:12.0","972","","","2131","","","","3:48.0","30","401","","","60","Lwt","Indoor Rower","No","L=0"
