"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"2017-03-09 00:00:00","1,100m row","10:00.0","600","","","1100","","","","4:32.7","17","359","","","61","Lwt","Indoor Rower","No","Stop. hand not improving and carpal tunnel surgery may not fix."
"2017-03-08 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-03-07 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-03-06 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-03-05 00:00:00","2,380m row","20:00.0","1200","","","2380","","","","4:12.1","22","375","","","61","Lwt","Indoor Rower","No",""
"2017-03-04 00:00:00","3,440m row","30:00.0","1800","","","3440","","","","4:21.6","20","367","","","61","Lwt","Indoor Rower","No",""
"2017-03-03 00:00:00","3,368m row","31:00.0","1860","","","3368","","","","4:36.1","17","357","","","61","Lwt","Indoor Rower","No",""
"2017-03-02 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-03-01 00:00:00","2,269m row","20:00.0","1200","","","2269","","","","4:24.4","19","365","","","61","Lwt","Indoor Rower","No",""
"2017-02-28 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-27 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-26 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-25 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-24 00:00:00","1,610m row","15:00.0","900","","","1610","","","","4:39.5","16","355","","","61","Lwt","Indoor Rower","No",""
"2017-02-23 00:00:00","1,840m row","15:00.0","900","","","1840","","","","4:04.5","24","382","","","61","Lwt","Indoor Rower","No",""
"2017-02-22 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-21 00:00:00","4,000m row","32:49.0","1969","","","4000","","","","4:06.1","23","381","","","61","Lwt","Indoor Rower","No",""
"2017-02-20 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-19 00:00:00","3,515m row","30:00.0","1800","","","3515","","","","4:16.0","21","372","","","61","Lwt","Indoor Rower","No",""
"2017-02-18 00:00:00","1,190m row","10:00.0","600","","","1190","","","","4:12.1","22","375","","","61","Lwt","Indoor Rower","No",""
"2017-02-17 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-16 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-15 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-14 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-13 00:00:00","2,000m row","16:45.0","1005","","","2000","","","","4:11.2","22","376","","","61","Lwt","Indoor Rower","No",""
"2017-02-12 00:00:00","4,000m row","34:10.0","2050","","","4000","","","","4:16.2","21","371","","","61","Lwt","Indoor Rower","No",""
"2017-02-11 00:00:00","4,500m row","37:04.0","2224","","","4500","","","","4:07.1","23","380","","","61","Lwt","Indoor Rower","No",""
"2017-02-10 00:00:00","4,404m row","35:04.0","2104","","","4404","","","","3:58.8","26","388","","","61","Lwt","Indoor Rower","No",""
"2017-02-09 00:00:00","4,179m row","33:48.0","2028","","","4179","","","","4:02.6","25","384","","","61","Lwt","Indoor Rower","No",""
"2017-02-08 00:00:00","0m row","","0","","","0","","","","","","","","","61","Lwt","Indoor Rower","No",""
"2017-02-07 00:00:00","3,625m row","30:00.0","1800","","","3625","","","","4:08.2","23","379","","","61","Lwt","Indoor Rower","Yes",""
"2017-02-06 00:00:00","3,326m row","30:00.0","1800","","","3326","","","","4:30.6","18","361","","","61","Lwt","Indoor Rower","No",""
"2017-02-05 00:00:00","3,748m row","33:07.0","1987","","","3748","","","","4:25.0","19","365","","","61","Lwt","Indoor Rower","No",""
