"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"2013-01-05 00:00:00","5,100m row","30:00.0","1800","","","5100","","","","2:56.4","64","519","","","57","Lwt","Indoor Rower","No","includes 3(500m + 3')"
"2013-01-04 00:00:00","4,000m row","23:28.0","1408","","","4000","","","","2:56.0","64","521","","","57","Lwt","Indoor Rower","No","easy day; not motivation"
"2013-01-03 00:00:00","6,200m row","37:00.0","2220","","","6200","","","","2:59.0","61","510","","","57","Lwt","Indoor Rower","No","try Pete training, 30 intervals"
"2013-01-02 00:00:00","5,500m row","32:00.0","1920","","","5500","","","","2:54.5","66","526","","","57","Lwt","Indoor Rower","No","UNLV - reopens after Xmas; I am out of shape! gained 3 1/2 pounds in <2 weeks (140 1/2 pounds)"
"2013-01-01 00:00:00","0m row","","0","","","0","","","","","","","","","57","Lwt","Indoor Rower","No",""
"2012-12-31 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-12-30 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-12-29 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-12-28 00:00:00","5,300m row","30:00.0","1800","","","5300","","","","2:49.8","71","546","","","56","Lwt","Indoor Rower","No",""
"2012-12-27 00:00:00","5,000m row","28:00.0","1680","","","5000","","","","2:48.0","74","554","","","56","Lwt","Indoor Rower","No","2nd day - 24-hour fitness, LVegas"
"2012-12-26 00:00:00","6,500m row","38:00.0","2280","","","6500","","","","2:55.3","65","523","","","56","Lwt","Indoor Rower","No","1st day at 24-hour Fitness (old machine and old PM2)"
"2012-12-25 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-12-24 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-12-23 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-12-22 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No","UNLV closed - I need rest, too"
"2012-12-21 00:00:00","7,900m row","51:00.0","3060","","","7900","","","","3:13.6","48","466","","","56","Lwt","Indoor Rower","No","drained, tired - something else going on?? UNLV now closes 2 weeks"
"2012-12-21 00:00:00","7,900m row","48:00.0","2880","","","7900","","","","3:02.2","58","499","","","56","Lwt","Indoor Rower","No","think body and muscles need a 2-3 day rest"
"2012-12-19 00:00:00","9,060m row","52:00.0","3120","","","9060","","","","2:52.1","69","536","","","56","Lwt","Indoor Rower","No","peak too soon @ ratio: 5.2, then tired"
"2012-12-18 00:00:00","10,070m row","57:30.0","3450","","","10070","","","","2:51.3","70","539","","","56","Lwt","Indoor Rower","No",""
"2012-12-17 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No","UNLV rower moved today - no rowing need rest"
"2012-12-16 00:00:00","9,050m row","52:00.0","3120","","","9050","","","","2:52.3","68","535","","","56","Lwt","Indoor Rower","No","W:spm > 5; very tired; collapse"
"2012-12-15 00:00:00","9,000m row","52:00.0","3120","","","9000","","","","2:53.3","67","531","","","56","Lwt","Indoor Rower","No","increased w:spm"
"2012-12-14 00:00:00","9,000m row","55:00.0","3300","","","9000","","","","3:03.3","57","495","","","56","Lwt","Indoor Rower","No","body is tired, w/music"
"2012-12-13 00:00:00","11,000m row","1:09:00.0","4140","","","11000","","","","3:08.1","53","481","","","56","Lwt","Indoor Rower","No","slow, steady, no pushing, music seems to help"
"2012-12-12 00:00:00","9,000m row","51:00.0","3060","","","9000","","","","2:50.0","71","545","","","56","Lwt","Indoor Rower","No",""
"2012-12-11 00:00:00","9,000m row","51:00.0","3060","","","9000","","","","2:50.0","71","545","","","56","Lwt","Indoor Rower","No","tired; note spm faster than usual"
"2012-12-10 00:00:00","10,500m row","1:04:00.0","3840","","","10500","","","","3:02.8","57","497","","","56","Lwt","Indoor Rower","No","unlv moves 1 rower upstairs during construction!"
"2012-12-09 00:00:00","9,500m row","55:00.0","3300","","","9500","","","","2:53.6","67","530","","","56","Lwt","Indoor Rower","No","a bit harder today"
"2012-12-08 00:00:00","9,500m row","55:00.0","3300","","","9500","","","","2:53.6","67","530","","","56","Lwt","Indoor Rower","No",""
"2012-12-07 00:00:00","8,600m row","52:00.0","3120","","","8600","","","","3:01.4","59","502","","","56","Lwt","Indoor Rower","No","back to normal? felt good"
"2012-12-07 00:00:00","2,600m row","15:00.0","900","","","2600","","","","2:53.0","68","532","","","56","Lwt","Indoor Rower","No","zero energy"
"2012-12-05 00:00:00","8,100m row","51:00.0","3060","","","8100","","","","3:08.8","52","478","","","56","Lwt","Indoor Rower","No","no fever? but out-of-shape"
"2012-12-04 00:00:00","6,300m row","39:00.0","2340","","","6300","","","","3:05.7","55","488","","","56","Lwt","Indoor Rower","No","less fever? but now out-of-shape, like jelly"
